시설명,주소,경도,위도
대원파크빌경로당,경상남도 창원시 성산구 삼동로 121 (대원동),128.654954934,35.224877872
대동1차(아)경로당,경상남도 창원시 성산구 창원대로548 (대원동),128.653926020,35.225696134
대원대동2차(아)경로당,경상남도 창원시 성산구 창원대로538 (대원동),128.653083543,35.226282243
The City7 자이 경로당,경상남도 창원시 성산구 창원천로 94번길 19 (대원동),128.653952416,35.239448616
포레나대원아파트경로당,경상남도 창원시 성산구 창원천로 34 (대원동),128.648734492,35.235019046
용호경로당,경상남도 창원시 성산구 창이대로 440번길 17 (용호동),128.682609548,35.239235860
용지경로당,경상남도 창원시 성산구 용지로 239번길 19-4 (용호동),128.684342517,35.236067055
일동아파트1단지경로당,경상남도 창원시 성산구 외동반림로 216 (용호동),128.679084087,35.235820449
일동아파트2단지경로당,경상남도 창원시 성산구 외동반림로 216 (용호동),128.679084087,35.235820449
무학아파트1단지경로당,경상남도 창원시 성산구 외동반림로 200 (용호동),128.676710501,35.235482503
무학아파트2단지경로당,경상남도 창원시 성산구 외동반림로 200 (용호동),128.676710501,35.235482503
롯데아파트경로당,경상남도 창원시 성산구 용지로 229 (용호동),128.684136430,35.235040019
신월제1경로당,경상남도 창원시 성산구 신사로 21번길 36 (신월동),128.690592400,35.228805283
신월제2경로당,경상남도 창원시 성산구 창이대로 586번길 1 (신월동),128.694753187,35.230989493
신월은아아파트경로당,경상남도 창원시 성산구 원이대로 663 (신월동),128.686635650,35.224718269
용지아이파크경로당,경상남도 창원시 성산구 원이대로 579번길 13 (용호동),128.678410388,35.229288008
용지더샵레이크파크경로당,경상남도 창원시 성산구 외동반림로 156 (용호동),128.675628970,35.230937899
성원1단지(아)경로당,경상남도 창원시 성산구 원이대로 774 (상남동),128.692818519,35.216827366
성원2단지(아)경로당,경상남도 창원시 성산구 원이대로 774 (상남동),128.692818519,35.216827366
