격자이름,total_idx,경도,위도,geometry,ADM_NM,ADM_CD,시군구명
마마279254,0.0005856710805115,128.9110479202625,35.51673640142331,POINT (1127949.999999999 1725450.0000000002),단장면,38080350,밀양시
마마139275,4.774666923680006e-05,128.75698470452235,35.537373935595184,POINT (1113950.0000000028 1727550),상동면,38080320,밀양시
마마211112,0.0010403717839661,128.83396072842257,35.38958704009612,POINT (1121150.0000000005 1711250),삼랑진읍,38080110,밀양시
마마197105,0.0006238669000548,128.81844654287056,35.38344612180237,POINT (1119750.0000000033 1710550),삼랑진읍,38080110,밀양시
마마095277,0.0006430506144007,128.70848510777174,35.5396729502049,POINT (1109550.0000000007 1727750.0000000012),부북면,38080310,밀양시
마마139274,4.415340214676262e-05,128.75697063947575,35.53647248922226,POINT (1113950.0000000005 1727449.9999999993),상동면,38080320,밀양시
마마081137,0.0001498938443647,128.69118085172815,35.41361989652854,POINT (1108150.0000000014 1713750.0000000005),초동면,38080370,밀양시
마마216142,0.0002904697485981,128.83991229524375,35.416569236055274,POINT (1121650.0000000012 1714250),삼랑진읍,38080110,밀양시
마마319326,0.0001946650249405,128.95632116587788,35.58111105235375,POINT (1131949.9999999998 1732650.0000000005),산내면,38080340,밀양시
마마152191,6.72393850167839e-05,128.77012916082944,35.461502062558885,POINT (1115250.0000000007 1719150.0000000007),상남면,38080360,밀양시
마마279155,0.0002069247934607,128.90948942895827,35.42749782501708,POINT (1127950.0000000002 1715550.0000000007),삼랑진읍,38080110,밀양시
마마153222,0.000330476410445,128.77167102114788,35.48943542868358,POINT (1115350.0000000012 1722249.9999999998),내일동,38080510,밀양시
마마254258,0.0010303678716022,128.88354675653574,35.520661339188244,POINT (1125450.0000000007 1725849.999999999),단장면,38080350,밀양시
마마197334,0.0004955075561514,128.8218229882217,35.58987393034339,POINT (1119749.9999999988 1733450),상동면,38080320,밀양시
마마247240,0.0007635611161288,128.87555185282358,35.50452430847572,POINT (1124750.0000000012 1724050.0000000005),단장면,38080350,밀양시
마마135305,3.909638435564503e-05,128.75299400175206,35.56446321292857,POINT (1113550.0000000012 1730550.0000000007),상동면,38080320,밀양시
마마081100,0.0002674509993964,128.69069032206482,35.38026478191156,POINT (1108149.9999999993 1710050.0000000007),초동면,38080370,밀양시
마마251340,0.0002274343358099,128.88150697513785,35.5946138972646,POINT (1125150.000000001 1734050),산내면,38080340,밀양시
마마223224,0.0009755669345912,128.84885379052895,35.4904003995572,POINT (1122350.0000000005 1722450.0000000002),단장면,38080350,밀양시
마마127111,0.0001496690984049,128.7414761262349,35.38967135240843,POINT (1112749.999999999 1711150.000000001),하남읍,38080120,밀양시
마마094276,0.0006243019749078,128.70736867990666,35.538782535973425,POINT (1109449.9999999995 1727649.9999999998),부북면,38080310,밀양시
마마191227,0.0003325691689279,128.81362764488992,35.49349386938893,POINT (1119150 1722750),산외면,38080330,밀양시
마마112166,0.0,128.7257139209826,35.4394210864031,POINT (1111250 1716650.0000000014),상남면,38080360,밀양시
마마063147,0.0002899705178316,128.67148960880266,35.42282871497281,POINT (1106350.0000000002 1714750),초동면,38080370,밀양시
마마139276,5.066355913612523e-05,128.75699877019346,35.538275381828235,POINT (1113950.0000000002 1727650.0000000005),상동면,38080320,밀양시
마마062148,0.0002741859045261,128.67040131393054,35.42374088720466,POINT (1106250.000000001 1714850),초동면,38080370,밀양시
마마188115,0.0003829169169371,128.8086854899344,35.39256834153613,POINT (1118849.9999999988 1711549.9999999995),삼랑진읍,38080110,밀양시
마마323335,0.00054911873631,128.96088202106768,35.589169903306406,POINT (1132350 1733549.9999999993),산내면,38080340,밀양시
